comment
Dites vous que je ne connais pas Manish mais le fait qu'il soit content ma rendu content aussi honnêtement Inox t un vrai ami et je pense que tu lui a fait le plus beau cadeau de sa vie
J'ai eu l'honneur de voir manish jouer honnêtement j étais heureux juste de voir la passion du basket dans ses yeux tu lui as fait le plus beau des cadeaux. Inox t as un grand cœur
Il a réaliser son rêve et maintenant il réalise le rêve des personnes qui l’ont aider
"T'as filmé le rêve de beaucoup de personne, chapeau et merci pour eux."
"Les yeux de Manish qui pétillent quand tu lui annonce qui va participer au match, de même quand il rencontre Tony.. Vraiment t’es un bon !! Il t’as aidé à gravir la montagne, et toi tu serais près à en déplacer pour lui, ça c’est beau !!! Cœur sur vous 🫶"
J'ai vraiment eu le sourire du début à la fin de cette vidéo. Mon dieu tu es vraiment une belle personne Ines et tout le monde te le rend bien. Besoin de beaucoup plus de gens comme toi dans ce monde. Cœur sur vous c'était une très belle vidéo
"C'est tellement inspirant de voir comment tu redonnes la pareille à ceux qui ont réaliser ton rêve de gravir l'Everest. Tu lui as beaucoup donné en retour, lui a fait plaisir avec un de ses plus grand rêve réalisé. Ça m'inspire à donner en retour. Car je reçoit énormément de beaucoup de gens sans redonner et c'est affreux de ma part. Je veux vraiment changer ça cette année. Merci de cette vidéo magique!!"
"Cette vidéo m'a fait sourire du début à la fin , que du bonheur merci!"
"A 20:51 : je sais pas si vous avez captez mais ils se font leur déclaration d'amour avec écrit ""félicité"" en arrière plan ! Si ca c'est pas un signe"
Mes brother
"C'est fou ce que tu as pu construire autour de YouTube, tu es réellement devenu une personne influente, qui ne s'arrête pas à YouTube, tu apparais désormais avec de réelles stars, tu touches même à différents milieux comme dernièrement la mode avec Jacquemus. Tu es actuellement l'un des seul du YouTube Fr à se professionnaliser autant, de créer des expériences uniques que tu peux réaliser grâce à ta notoriété et ton personal Branding que tu as su crée de façon remarquable. Aujourd'hui tu es plus qu'un simple vidéaste, plutôt un homme entreprenant qui touche à tous et réussit à se démarquer du lot du haut de ton jeune âge. Tu forces le respect et l'admiration. Bravo"
Merci pour manish  t as 1 grand cœur inox
